Unité	F	f_1 - 5	Score	f_6 - 7	Score	f_8 - 10	Score
"je"	3094	811	21.0659	981	-3.3475	1302	-5.8274
"préciser"	30	9	0.9748	10	-0.2762	11	-0.7155
"que"	5963	1136	-0.4172	2097	0.8177	2730	-0.6321
"mon"	624	167	5.577	172	-3.938	285	-0.3972
"critique"	140	38	1.8556	35	-2.0057	67	0.4165
"pouvoir"	1504	266	-1.1587	509	-0.5274	729	1.3497
"spoiler"	19	1	-1.0186	12	1.9931	6	-0.8358
"quelque"	540	85	-1.6752	192	0.4908	263	0.866
"élément"	97	15	-0.6733	38	0.7091	44	-0.3269
"du"	7136	1339	-0.7697	2490	0.5822	3307	0.3502
"jeu"	4122	845	1.7252	1393	-0.7894	1884	-0.615
"sur"	1675	341	0.9105	625	2.0429	709	-3.1856
"le"	23110	4266	-2.8782	8121	1.6491	10723	0.4834
"chapitre"	118	19	-0.6331	64	5.0436	35	-3.7684
"@card@"	1630	373	3.9056	563	0.2955	694	-2.8243
"et"	7611	1324	-4.6792	2638	0.3875	3649	2.8274
"("	1867	393	1.6174	640	-0.377	834	-1.0575
")"	1811	386	1.8833	623	-0.3333	802	-1.3192
":"	1116	243	1.7612	459	5.5811	414	-9.4441
"être"	9031	1828	2.1936	3167	0.8505	4036	-2.8927
"un"	9423	1792	-0.4961	3226	-0.5623	4405	0.7715
"film"	102	24	0.7885	32	-0.5406	46	-0.3496
"interactif"	17	9	2.7161	1	-2.1289	7	-0.364
"en"	4130	786	-0.4059	1413	-0.4696	1931	0.5783
"séquence"	82	20	0.8323	36	1.3069	26	-2.284
"de"	17978	3400	-0.8245	6020	-2.9065	8558	3.9754
"point-and-click"	2	0	-0.1853	0	-0.3679	2	0.6696
"."	11990	2236	-1.2465	4037	-1.6553	5717	3.1203
"ce"	5361	1161	5.4607	1875	0.602	2325	-5.0039
"différer"	3	0	-0.278	1	-0.1399	2	0.3527
"énormément"	47	10	0.3805	14	-0.5199	23	0.3863
"premier"	697	138	0.4419	205	-2.6429	354	2.0404
"privilégier"	15	1	-0.7302	5	-0.2369	9	0.6794
"foi|fois"	527	106	0.5006	194	0.837	227	-1.1124
"-ci"	87	13	-0.7154	27	-0.5436	47	1.0486
"prise"	37	8	0.3781	12	-0.3287	17	-0.2581
"vue"	92	23	0.9861	26	-0.91	43	0.2979
"réel"	85	14	-0.5018	30	0.3171	41	0.4005
"pour"	2804	552	0.572	955	-0.5143	1297	-0.2949
"décor"	126	16	-1.4451	47	0.5445	63	0.6471
","	17124	3203	-1.3693	5940	0.4791	7981	0.7567
"contexte"	42	11	0.7719	17	0.5926	14	-1.2045
"scénaristique"	39	12	1.2411	14	0.3111	13	-1.1471
"différent"	248	28	-3.2608	87	0.3454	133	1.9265
"horrifique"	2	0	-0.1853	1	0.2431	1	0.148
"tourner"	75	18	0.7428	24	-0.4301	33	-0.4064
"ordre"	49	7	-0.6016	17	0.2644	25	0.5244
"psychologique"	8	0	-0.7412	2	-0.3575	6	0.9965
"plutôt"	256	44	-0.6364	115	3.431	97	-2.3793
"occulte"	3	0	-0.278	0	-0.5519	3	1.0045
"plus"	2444	420	-2.2762	808	-1.1888	1216	3.561
"il"	2961	544	-0.8975	1123	4.2406	1294	-2.5736
"falloir"	445	73	-1.1406	151	-0.3804	221	1.0876
"noter"	72	14	0.2779	15	-2.0829	43	1.826
"performance"	6	0	-0.5559	0	-1.1038	6	2.009
"acteur"	14	3	0.2824	3	-0.6355	8	0.5365
"bien"	1373	222	-2.7103	461	-0.6253	690	2.7933
"meilleur"	193	22	-2.6033	62	-0.574	109	2.5552
"qualité"	174	31	-0.4416	42	-2.6955	101	2.9271
"doublage"	40	9	0.4461	10	-0.872	21	0.5805
"réussir"	201	35	-0.5333	84	1.7152	82	-1.1629
"nous"	890	173	0.3514	320	0.7102	397	-0.77
"prendre"	526	77	-2.4385	197	1.0612	252	0.6259
"contrôle"	56	7	-0.8789	19	-0.2807	30	0.7759
"tant"	179	33	-0.356	69	0.8338	77	-0.6703
"«"	143	45	3.4923	39	-1.4063	59	-0.8786
"»"	129	40	3.0359	33	-1.7297	56	-0.5402
"dans"	2817	488	-2.2783	974	0.3122	1355	1.5925
"compagnie"	16	2	-0.4183	6	0.3062	8	0.3208
"confronter"	14	1	-0.6607	2	-1.0479	11	1.8357
"rapidement"	107	19	-0.3904	47	1.5604	41	-1.2225
"au"	2464	436	-1.5481	845	-0.3864	1183	1.3801
"protagoniste"	64	14	0.4672	29	1.3174	21	-1.6959
"aventure"	288	33	-3.5555	110	0.9707	145	1.0395
"qui"	3315	610	-0.9169	1152	0.3969	1553	0.5985
"majoritairement"	11	2	-0.1914	4	0.2507	5	-0.2216
"collègue"	5	0	-0.4633	0	-0.9198	5	1.6741
"bureau"	14	4	0.5607	3	-0.6355	7	0.3079
"avoir"	5151	1112	5.0359	1766	-0.444	2273	-2.9811
"donc"	377	78	0.6001	129	-0.3254	170	-0.4631
"ami"	112	25	0.6318	24	-2.7473	63	1.6678
"poste"	5	0	-0.4633	2	0.2498	3	0.3665
"personnage"	772	121	-2.2118	269	0.3558	382	1.408
"ouvertement"	2	0	-0.1853	0	-0.3679	2	0.6696
"homosexuel"	3	2	1.0153	0	-0.5519	1	-0.2549
"mais"	1816	401	2.9188	645	0.7115	770	-3.2969
"appréciable"	24	1	-1.3971	7	-0.4251	16	1.4475
