"Reference";"LeftContext";"Keyword";"RightContext"
"Series_200_20";"la série qu'on doit voir un truc";"Sony pas plan";", c'est bon, ils nous feront pas croire que personne"
"Series_200_20";"ville de Seattle. "" Source : wikipédia";"Avis aussi bref";"Ca, c'est pour le résumé wikipédia. On pourrait presque"
"Series_200_20";"épisode est un véritable chaos, un énorme";"WTF aussi drôle";"qu’improbable. C’est typiquement du Douglas Adams : Absurde,"
"Series_200_20";"pas fais parler d'elle mais qui est";"TOUT simplement géniale";"! ! J'espère une saison 2 au plus vite ! Un"
"Series_200_20";"France 2. On aura rarement entendu une";"VF plus atroce";". Elle arrive même à nous dégoûter de la réel prestation des"
"Series_200_20";"ne vous le racontera pas ! FUCK SOCIETY";"Deuxième point majeur";"du pilote, et des épisodes à venir : l’aversion affirmée"
"Series_200_20";", j’ai trouvé le personnage de John";"Smith très convaincant";", que l’on sent tyrannique mais incroyablement attaché à sa famille"
"Series_200_20";"l'amiral Yamamoto, Hitler, Rommels et";"Heydrich encore vivants";"… La réécriture de l'histoire ne se limite pas à un"
"Series_200_20";"in the High Castle est une série de";"SF plutôt originale";". En effet, l'histoire nous propulse dans une uchronie ("
"Series_200_20";"autre à cause de la coiffure de Lee";"Min-ho alias Gu";"Jun Pyo. Leurs vêtements ne sont pas toujours non plus de"
"Series_200_20";"les autres allèrent porter secours au pauvre Bertrand";"Chameroy encore inconscient";". Effaré par ce que je venais de voir, je reculai"
"Series_200_20";"lui... Quel ramassi de connerie. Enora";"Malagré toujours conne";", ça change pas dit donc. Des types qui critiquent tout"
"Series_200_20";"et l'épisode révélant le mystère de JJ";"LaRoche particulièrement divertissant";". Bien entendu, et cela confirme que nous n'avons quand"
"Series_200_20";"font craindre pour Gotham puisqu'elle a également Bruno";"Heller comme créateur";". Une série de seconde zone, le sentiment de voir à"
"Series_200_20";"deçu. Je m'attendais a un John";"Lerouge plus Charismatique";". Il s'est laissé tuer trop facilement par Jane. Spoil"
"Series_200_20";""" "" nous a montré un John le";"Rouge plus satisfaisant";"que celui présenté dans la saison 6, malgré le retournement de"
"Series_200_20";"de revoir avec une scène excellente. Ruth";"Negga vraiment badass";", et Cooper qui joue un Jesse Custer parfait, la scène"
"Series_200_20";"Preacher à la base c'est un comics";"Ricain assez unique";"sur un prêtre qui reçoit un pouvoir divin, sa relation Bonnie"
"Series_200_20";"plus fort que sa petite fille, San";"Gotten complètement inutile";"et qui se fait humilier par Pan, Trunk en métrosexuel paniqué"
"Series_200_20";"DBZ la relève de Son Goku (avant";"Oob bien sûr";"). Alors oui, ils ont évolué à leur façon,"
"Series_200_20";"épisodes # 21 à # 30 : --";"Constat quasi catastrophique";"cette fois ! Une vraie descente aux enfers, alors que l’"
"Series_200_20";"qu'on ait vraiment adoré Zamasu et Black";"Goku comme ennemis";", la résolution est bancal. Malgré la poudre aux yeux efficace"
"Series_200_20";"Ball Z, j'ai trouvé Dragon Ball";"GT très moyen";"et je trouve Dragon Ball Super à peine mieux. Détaillons un"
"Series_200_20";"panne précoce d'inspiration, ils nous resservent";"Freezer plus puissant";"que jamais (tiens donc). Puis on a tour à"
"Series_200_20";"par une bande dessinée. A voir en";"VO bien sûr";".... Pour l'accent de Lucifer ô combien "" so british"
"Series_200_20";"du monde, c’est quand même l’";"Angleterre très chers";"… tout en rameutant toutes les gonzesses du quartier. C’est"
"Series_200_20";"cependant... C'est assez moyen. Des";"OST plutôt sympa";"(le premier opening... : 3) certes, mais le"
"Series_200_20";"GÂCHENT TOUT), et la voix de";"Yukiteru difficilement supportable";"comme précisé auparavant. Graphiquement ça reste joli mais sans plus."
"Series_200_20";"pas grand chose ; ou la partie avec";"Tenth pas terrible";"selon moi, à part la scène culte de la pièce."
