"word";"F"
"! ! ! ! ! !";46
": / / www . youtube .";11
"/ www . youtube . com / watch ?";11
"-- > > http : / / wp .";7
": / / alligatographe . blogspot .";6
": / / leschlamedias . wordpress .";5
", tout comme la mise en scène , sont évolutives .";4
": / / www . senscritique .";4
". Si on sait lire entre les lignes , Mr .";4
"ambivalence qui traverse Mr . Robot .";4
"définie , chaque épisode propose un véritable fil conducteur stylistique .";4
"esprit difficilement fiable de la figure centrale de la série .";4
"et qui rend sa petite justice personnelle à chaque épisode .";4
"il ne les présente même pas comme des bonnes personnes .";4
"lorsqu’ elle s’ intéresse aux blessures intimes de ses personnages .";4
"mieux que le film ! » .";4
"scène , sont évolutives . Si Mr .";4
"une fresque politique qui pose la question de la subjectivité .";4
", 10 épisodes , mais elle ne laisse aucun repos .";2
", allez -y vous allez en avoir pour votre argent .";2
", alors ça va . NB :";2
", alors pourquoi en fait c' est pas si génial ?";2
", alors que la première saison était dans l' excellent .";2
", aperçue dans d' autres séries comme Prison Break dernièrement .";2
", après Jun Pyo , c' est vraiment mon favoris .";2
", à San Francisco , capitale des États pacifiques japonais .";2
", authentique , sans fumisterie la notoriété et ses conséquences .";2
", avec son final dantesque dont je me souviendrai longtemps .";2
", bien qu' on ne les comprenne pas encore bien .";2
", bravo ! ! ! ) .";2
", c' est ... ah , les mots me manquent .";2
", c' est ce don j' attendais depuis très longtemps .";2
", c' est fait . En résumé , si Mr .";2
", c' est juste bien fait ... Vous savez quoi ?";2
", c' est le manque de charisme des nouveaux Powers .";2
", c' est même justement ce qui lui fait défaut .";2
", c' est plié . Ouch .";2
", c' est ses personnages et le jeu des acteurs .";2
", c' est sûrement la plus grosse surprise de 2016 .";2
", c' était lui , le grand maléfique , absolument .";2
", ça fait plaisir de visionner une VRAIE bonne série .";2
", ça fait un peu mégalo tout ça , non ?";2
", ça m' a fait rire plus d' une fois !";2
", ça parlait de longueur à partir du treizième épisode .";2
", cela est dommage car j' aime beaucoup Carly Chaikin .";2
", cela ne me pose pas de problème , certes .";2
", celle ci devient plus naturelle au fil des épisodes .";2
", celles -l même qui pourrissent le monde selon lui .";2
", celui avec qui il parle , autrement dit nous .";2
", ce qui peut être explique sa réputation de Casanova .";2
", cette nouvelle saison fait face à sa propre ambition .";2
", cette planète est bien trop inconnue pour être hostile .";2
", cette saison s’ avérera donc meilleure que la précédente .";2
", chacun d' entre eux souffre toujours du même défaut :";2
", chaque épisode est un casse tête pour le spectateur .";2
", chef mystérieux d’ une bande secrète de hackers surdoués .";2
", coiffeur et laveur . L' homme parfait .";2
", comme le dit justement un personnage de la série .";2
", comme le Yi-king une foutaise et Juliania une folle .";2
", créateur de Mr . Robot .";2
", c’ est ce qui m’ a le plus irritée .";2
", c’ est une série qui a de la tronche .";2
", d' ou sort cette tarée qui tue des gens ?";2
", dans ce monde que nous voyons comme un cauchemar .";2
", dans la même angoisse silencieuse qui enveloppe nos héros .";2
", dans le bouquin , le mec rédige des livres .";2
", décontracté ou sérieux , juste ce qu' il faut .";2
", déjà ? Ah , juste pour hacker un portable .";2
", de l’ assassinat de Kennedy jusqu’ au colonialisme américain :";2
", de mec paumé à soldat d' élite du Reich .";2
", désarçonnant le spectateur et le rattrapant sur la durée .";2
", des talents entraîne nécessairement une inégale répartition des richesses .";2
", devient enfin intéressante . 7 / 10 Que retenir ?";2
", dont le personnage devient de plus en plus attachant .";2
", dont on retrouve plusieurs fois l' influence , Mr .";2
", drogué , inapte à la vie en société etc .";2
", Ed , Joe et bizarrement même pour John Smith .";2
", Eddie Izzard est incroyable , Noah Taylor est parfait .";2
", elle a le pouvoir de totalement intensifier nos émotions .";2
", elle est loin , trop loin pour être poursuivie .";2
", elle possédait tous les ingrédients d' un petit bijou :";2
", elle se colle une mère ( bonjour Mrs Bennet !";2
", elle se débarrasse de nombreux tics propres au genre :";2
", elle se déclina sous la forme d’ une série .";2
", elles s’ achèvent très souvent sur une nouvelle question .";2
", Elliot se révèle être un hackeur justicier la nuit .";2
", Elliot tente de survivre à ses angoisses et hallucinations .";2
", entouré d' une engeance qui peine à le comprendre .";2
", envoûtante malgré le fait que leur temps soit passé .";2
", est d' aller à la recherche de ces secrets .";2
", est un cinglé . Un paranoÏaque de premier choix .";2
", est un euphémisme , aussi grand que ma déception !";2
", et ça manque . Les acteurs , justement .";2
", et Cary-Hiroyuki Tagawa en ministre japonais épris de paix .";2
", et ceux qui connaissent ne manqueront pas de sourire .";2
", et c’ est ce qui fait toute sa viabilité .";2
", et de temps en temps donner un petit morceau .";2
", et j' attends donc avec impatience une saison 2 .";2
", et j' en ressors avec un sentiment de gâchis .";2
", et la paix mondiale se retrouve alors en péril .";2
", et les personnages ; les suivants sont très drôle .";2
", et on se dit que ça peut être intéressant .";2
", et risquer ainsi de « décevoir » son audience ?";2
", et s' est arrêté sur "" bonne série "" .";2
", et si vous ne l' avez pas encore vu :";2
", et surtout 5 ! !";2
", évidemment ) qu' au final de la saison 2 .";2
"- , fait preuve d' un électro -en désespérément plat .";2
", films , jeux vidéos ... ce sont les références .";2
", franchement : c' est Fight Club avec des hackers .";2
", Frank Spotnitz , ne changera pas trop la donne .";2
", froid ( stéréotype nazi de film en gros ) .";2
", génialeent interprété par Rami Maleck , est un cinglé .";2
", grâce à celle -ci que je me suis dit :";2
", Grace Van Pelt , et le consultant Patrick Jane .";2
", hacker schizophrène décidé à "" sauver le monde "" .";2
", il décide de se venger et de le retrouver .";2
", il est aussi le créateur de deux autres entités :";2
", il faut commencer à visionner la série pour comprendre .";2
", il faut garder l' église au milieu du village .";2
", il manque un je-ne-sais-quoi pour que ce soit intéressant .";2
", ils m' ont bien aidé pour forger mon avis .";2
", il sombre un peu dans le n' importe quoi .";2
", il utilise des drogues et voit régulièrement une psy .";2
", il y a de tout , concernant les OST .";2
", il y avait vraiment du potentiel dans leur romance .";2
", immersifs , parfait pour se mettre dans l' ambiance .";2
", j' adore Fincher , mais les emprunts sont violents .";2
", j' ai comme un goût amer dans la bouche .";2
", j' ai moins aimé cet épisode dans sa globalité .";2
", j' ai nommé Orgueil et Préjugés par Jane Austen .";2
", j' ai tant et si mal à la tête .";2
", j' aurai apprécié voir leur mariage à la fin .";2
", j' emploie ici le terme dans son sens littéraire !";2
", j' en ai encore des frissons dans l' adolescence .";2
", jamais égalé ! ! !";2
", je dois dire que je ne suis pas déçu !";2
", je me suis envoyé les dix épisodes de Mr .";2
", je parlerais plus de générosité plutôt que de lourdeur .";2
", je préfère l' ignorer parce qu' il m' énerve .";2
", je rassemblerai tous mes avis et critiques sur Mr .";2
", je regarde le nouvel épisode de la nouvelle saison .";2
", je suis schizo . » .";2
", je trouve , plutôt bien développé dans cette série .";2
", jouée par Carly Chaikin ) , dangereuses , menacées .";2
", l' engouement pour ce nouveau drama coréen fut évident .";2
", la dernière série que je regardais à la télé .";2
", la fin de John le rouge un peu bâclée .";2
", la frime , les fantasmes érronés envers les anciens .";2
", la meilleure amie d’ Elliot jouée par Portia Doubleday .";2
", la responsabilité d' avoir des pouvoirs et la notoriété .";2
", la série ne pouvait que décevoir ... Et non .";2
", la série porte un grand nom dans sa production :";2
", la série souffre un peu sur le plan technique .";2
", lassée mais sans pour autant ne plus l' aimer .";2
", la vie des gens ordinaires y serait la même .";2
", le fil rouge pourrait être mieux / plus développé .";2
", le genre qui ferait craquer n' importe quelle fille .";2
", le phénomène John Le Rouge commence à me lasser .";2
", le récit est servi par une ambiance assez pesante .";2
", les autres peuvent s’ y lancer les yeux fermés .";2
", les chambres à gaz , la chasse aux handicapés .";2
", les indiens vous n’ en avez jamais entendu parler ?";2
", les problèmes d' addiction , du cul , etc .";2
", les révélations en fin de saison vont vous étonner .";2
", les scénaristes ne se sont pas cassé la tête .";2
", les twists que vous voyez venir à 15 bornes :";2
", les yeux bandés et la tête à l' envers .";2
", le téléspectateur , Elliot se pose toutes ces questions .";2
", le tout dans la plus grande maîtrise des événements .";2
", le verdict tombe : quelle cata !";2
", liés au mystérieux « maître du haut château » .";2
", logiquement , comme talon d' Achille de la Société .";2
", l’ ampleur de la tache paraissait dès lors envisageable .";2
", l’ un des clients qu’ Elliot est censé protéger .";2
", M / ichel Forbes , Adam Godley ... ) .";2
", m' est avis , les producteurs se sont dits :";2
", mais cette fois , cela commence à paraitre excessif .";2
", mais elle est drôle , loufoque et terriblement addictive .";2
", mais les effets sont connus , vus et revus .";2
", mais leur jeu n' est pas non plus caricatural .";2
", mais pour cela en arrive à des excès ridicules .";2
", mais pourtant il y' a plus dans cette série .";2
", mais que leur univers est quand même très aseptisé .";2
", mais reprenant un peu trop des thèmes déjà employés .";2
", mais soigne sa coupe de cheveux rasée de près .";2
", mais surtout sur les concepts qui peuvent être abordés .";2
", même la nourriture . Surtout la nourriture .";2
", même si on y retrouve des clichés du genre :";2
", merci , mais autant me raconter ça par sms .";2
", Meteor Shower en Chine et Meteor Garden à Taïwan .";2
", mieux valait ne pas écrire de série du tout .";2
", moi je préfère parler de pompage un peu éhonté .";2
", Monthy Python' s Flying Circus et bien d' autres .";2
", Mr Robot nous donne une bonne et grosse claque !";2
", n' ayant pas lu l' oeuvre de Philip K .";2
", ne vous attendez pas à voir une bonne série .";2
", ne vous inquiétez pas , tout cela est irréel .";2
", ni moins , afin d’ avoir un rendu correct .";2
", niveau jeu d' acteur ça atteint pas des sommets .";2
", notamment grâce à une brochette d' acteurs franchement impeccables .";2
", nous n' en sommes qu' à l' épisode 3 .";2
", nous restons indirectement liés à l' existence de Mr .";2
", observe bien tout . Puis reviens ici .";2
", ok . Je trouve d' ailleurs cela très intéressant .";2
", on annonce un message des sponsors d’ Evil corp .";2
", on envie ses capacités et son talent de manipulateur .";2
", on nous présente ses troubles , son univers oppressant .";2
", on peut pas dire que ça soit la folie .";2
", où beaucoup d' intérêt se trouve dans le détail .";2
", ou en tout cas veut faire aller ses protagonistes :";2
", oui si on excepte le vocabulaire c' est cool .";2
", ou parfois dans la narration en voix off ) .";2
", ou tout comme : 1962 , États-Unis .";2
", parce qu' on a besoin de plus de réponses !";2
", par conséquent , les capacités de nuisance en piratage .";2
", par les décors fabuleux et le soin aux détails .";2
", particulièrement pusillanime mais attachant dans son rôle de manipulateur .";2
", pas la science du nombre , il est mentaliste .";2
", pas pire , mais hyper centré Amérique du Nord .";2
", Patrick Jane arrive avec sa petite tasse de thé .";2
", personnages donnant des explications ) sont un peu saoulantes .";2
", peut-être , de Teresa Lisbon ( Robin Tuney ) .";2
", peut être pour laisser retomber la hype d' ailleurs .";2
", peut-être que le dernier épisode dévoilera des trucs inattendus ?";2
", pleine de couleur qui n' enlève rien au reste .";2
", pour maratoner la saison complète quand elle sera finie .";2
", pour ne citer que lui ) par trop grossières .";2
", prêts , partez ! 7 saisons .";2
", provoquant , c' est presque humiliant pour ces copains !";2
", psychologiquement instable et en révolte contre le système capitaliste .";2
", puis le montrer juste après sous un regard humain .";2
", puisqu' il décidera , avec l' aide de Mr .";2
", qu' elle casse les codes et brouille les pistes .";2
", qu' elle est extrêmement intéressante à revoir plusieurs fois :";2
", qu' il n' avait encore jamais eu jusqu' ici .";2
", que cette série pourrait devenir une référence du genre .";2
", qui a bien failli être la dernière par ailleurs .";2
", qui dans ce trio d' identité est presque gênant .";2
", qui en sait toujours moins que les autres personnages .";2
", qui joue sur la psychologie labyrinthique de ses protagonistes .";2
", quitte à rentrer complètement dans la peau de Mr .";2
", qu’ inconsciemment vous le connaissez à peu près tous .";2
", rafraichissant , attachant ... Intelligement référentiel , en vrac :";2
", Sam Esmail nous fourre le nez dans sa merde .";2
", sans le moindre charisme , et surtout sans explication !";2
", sans que jamais elle ne soit mise en concurrence .";2
", sans quoi on va finir par s' en lasser .";2
", scandinaves ou juifs . Et blancs , mâles .";2
", secouriste , musicien , mouchoir , coiffeur et laveur .";2
", se servir d’ autrui et écraser les plus démunis .";2
", seule Amanda Righetti semble dépourvue d' en cas perso .";2
", son audace et sa pertinence sur le monde actuel .";2
", sont très intéressant , digne du fameux Steven Knight !";2
", super fade ! ! !";2
", The Man in the High Castle ne déçoit pas .";2
", The Mentalist n' est certainement pas la plus mauvaise .";2
", The Mentalist s' est placé comme une série sympathique .";2
", très haut niveau . L' article complet :";2
", trop occupé à imiter le ciné branché pour exister .";2
", type CSI , Cold Case , Without a Trace .";2
", un écrin ambitieux pour l’ esprit de ses personnages .";2
", une fois découverts , font tout le sens ) .";2
", une lumière , et une mise en scène prometteuses .";2
", une nouvelle fois . Voilà c' est fini .";2
", une réalisation impeccable . Du très haut niveau .";2
", un triangle amoureux , rien que de très commun .";2
", vieux , charmé par Juliana et méditant sans cesse .";2
", voir de les découvrir d' une tout autre manière .";2
", voire une paresse dans l' écriture pourrissent le visionnage .";2
", voulant faire prendre conscience aux opprimés de leur oppression .";2
", vraiment ultra-travaillée , originale et très très très prenante .";2
", vu comment l' hypothèse de l' inexistence de Mr .";2
", vu qu' il nous aime bien ... mini spoiler :";2
", vus et revus . Téléphonés .";2
", y' avait rien , donc je l' ai mise .";2
", y' avait rien de très plaisant dans ce protagoniste :";2
"; . IL a vraiment fallu que je me force .";2
"; et bien souvent , ils sont mêmes assez rébarbatifs .";2
"; le duo marche très bien , c' est super .";2
": / / 817 . 123 .";2
": / / la7emeseance . wordpress .";2
": / / leblogdeyuko . wordpress .";2
": / / lutetia95 . blogspot .";2
": / / www . cineserie .";2
": / / www . proximustv .";2
": "" Bah , c' était quand même chouette "" .";2
": "" Je regarderai cette série jusqu' au bout "" .";2
": « Yo Bro ! What' s up ?";2
": ( ! ! ! !";2
": ALL OF THE FEELS , ALL OF THE TIME .";2
": c' est faux . Mr .";2
": comment le CBI faisait avant l' ère Patrick Jane ?";2
": est -elle destructrice , ou est -elle une force ?";2
": Jane n' a rien à voir avec un House .";2
": La deuxième saison de cette série est effroyablement mauvaise .";2
": la SAISON 2 ! !";2
": le mensonge du cinéma dans celui de l' histoire .";2
": Le personnage principal me fait toujours penser à Coutinho .";2
": - Les personnages . Alors pas tous hein .";2
": l’ Emotion procurée par l’ histoire de Patrick Jane .";2
": m' enfin des questions qui resteront malheureusement sans réponses :";2
": ne l' invite jamais prendre un café chez toi .";2
": nous n' y trouverons pas matière à grandes réflexions .";2
": on veut comprendre ! Eliott est -il vraiment fou ?";2
": passez votre chemin . Mr .";2
": Pourquoi Mentalist plus que Lie To Me ou Castle ?";2
": Red John déçoit . / FIN SPOILER !";2
"! ! J' espère une saison 2 au plus vite !";2
"! » ( exactement comme moi avec Jane Austen ) .";2
"! balaise le gars ! ) .";2
"! En tout cas maintenant j' ai qu' une hâte :";2
"! En un mot : poubelle .";2
"! Et il faut avouer que je suis fort déçu !";2
"! Le F4 . La classe incarnée à eux quatre .";2
"! Nulle , anecdotique . Et on s' en fout .";2
"! Pour Jan Di ... La , ça se corse .";2
"! Suis bien content des premiers épisodes de la série .";2
"! What' s up ? / Let' s go .";2
"! - WOUF wouf Captn , on prend les armes ?";2
"? ? ? ANGLAIS ! !";2
"? ? ANGLAIS ! ! !";2
"? Bien sur que non , puisque tout est connecté !";2
"? Dès le générique , une définition nous est donnée :";2
"? L' Europe , on devine , mais le reste ?";2
"? Peut -on le faire en suivant ses propres valeurs ?";2
"? Prenons le nom du conglomérat "" Evil Corp "" .";2
"? Qui sont -ils ? Comment procèdent -ils ?";2
"? Un monde gouverné par le totalitarisme , épouvantable chimère .";2
"? vous l' avez ? vous l' avez ?";2
"/ / / / Un saison intéressante sans être exceptionnelle .";2
"/ 07 / the-mentalist-season-saison-6-baker . html Saison 7 :";2
"/ 08 / le-mentaliste-saison-5 . html Saison 6 Préalable important :";2
"/ 10 à l' épisode 8 de la saison 2 :";2
"/ 14 : C' EST QUOI CETTE FIN DE MERDE ?";2
"/ 5 Musique : 4 / 5 Jeu d' acteurs :";2
"/ 817 . 123 . 1 .";2
"/ doliprane et a autant de charme qu' un bulot .";2
". ... Pour cité les films pompés dans l' ordre :";2
"... "" Matrix "" ? "" "" Fight Club "" ?";2
"... "" Mr . Robot "" vole formellement très haut .";2
"... ça , ça serait une bonne idée d' uchronie .";2
"... Ce pilote introduit logiquement les personnages et l' histoire .";2
"... Difficile de trouver un défaut à cette série ... !";2
"... elle , elle m' a fait plaisir à voir .";2
"... Je n' essayerai pas de vous convaincre d' avantage .";2
"... mais jamais on m' a parlé de son âme .";2
"... on ne se sent pas pris pour un imbécile .";2
"... peut-être que la série y gagne de la profondeur .";2
"... son alter-égo prenant finalement totalement possession de ses moyens .";2
". 1 . 2_d3bug . mkv :";2
". 1x01 - eps1 . 0_hellofriend .";2
". A l' inverse , deux personnages sont plus intéressants :";2
". Alors quoi , c' est super révolutionnaire comme sujet ?";2
". Assurement le samouraï_ninja_moderne . Superbe .";2
". Avec le E basculé de Dell ... pourquoi Dell ?";2
". blogspot . fr / 2013 / 08 / le-mentaliste-saison-5 .";2
". blogspot . fr / 2014 / 07 / the-mentalist-season-saison-6-baker .";2
". blogspot . fr / 2015 / 04 / the-mentalist-season-saison-7 .";2
". blogspot . fr / 2016 / 11 / mr-robot-saison-2 .";2
". Boom . Il est trois personnages en même temps :";2
". Bref , BRAVO ! !";2
". Bref , ça m' énerve ce "" truc "" .";2
". C' est juste , c' est intéressant voire passionnant .";2
". C' est presque à voir comme une série comique .";2
". C' est un moment de détente pur et simple .";2
". ce fut bien au contraire , une véritable blague .";2
". Celle d' un homme qui veut assouvir sa vengeance .";2
". Celle qui interprète l' héroïne est Koo Hye Sun .";2
". Certes les méthodes anticapitalistes ne sont pas les mêmes .";2
". Chose que K . Dick prenait soin d' éviter .";2
". Comment vit on la redescente après un passé glorieux ?";2
". C’ est la définition même de cette deuxième saison :";2
". De la violence . Du fantastique .";2
". De l’ action . De l’ espièglerie .";2
". De l’ espièglerie . De la violence .";2
". De l’ humour . De l’ action .";2
". Dirk Gently , détective holistique est une série holistique .";2
". Domination mondiale ? ? ?";2
". Du coup , impossible de terminer la première saison :";2
". E . N . I .";2
". Elle est tiraillée entre plusieurs hommes de son entourage :";2
". En effet , notre héros est lui-même un doppelgänger .";2
". En plus , l' acteur principal fait trop peur .";2
". Et là , j' ai accroché tout de suite .";2
". Et là aussi , le hacking a son utilité .";2
". Et le héros a le charisme d' une huître .";2
". Et maintenant ? Comme on dit dans l' informatique :";2
". Et oui , Elijah Wood joue dans cette série .";2
". Et pourtant , elle mériterait d' être aussi connue !";2
". Face à face . Est -ce lui ?";2
". Fuck Society . » ( Eliott in « Mr .";2
". Grosse idée de merde qui plombe définitivement la série .";2
". H . I . E .";2
". H . S . ( wooooooo !";2
". Heller à légèrement exagéré les facultés de son personnage .";2
". Honnêtement , après deux épisodes , je suis déçue .";2
". I . A . L .";2
". I . E . L .";2
". Il est difficile pour moi de recommander la série .";2
". Il peut être un allié dans un jeu pervers .";2
". Il s' est laissé tuer trop facilement par Jane .";2
". Ils sont bons . Mais vraiment vraiment très bon .";2
". Il travaille dans une petite société de sécurité informatique .";2
". Il y a surtout un couple charmant quoiqu' improbable .";2
". J' attends de voir ce que donnera la deuxième .";2
". J' aurais vraiment préféré quelque chose de moins manichéen .";2
". J' avais tellement envie d' aimer aussi son show !";2
". Je deviens sénile . PPS :";2
". Je dois dire que je suis plutôt resté scotché .";2
". Je m' attendais a un John Lerouge plus Charismatique .";2
". Je m' y suis donc mis et déception totale .";2
". Je n' ai pas totalement accroché à leur couple .";2
". Je n' ai plus qu' une chose à dire :";2
". Je prend donc du plaisir à regarder cette série .";2
". Je vais tenter d’ être le plus évasif possible .";2
". Je viens de résumer le scénario en quelques lignes .";2
". Jusque là , ce n' est pas très original !";2
". L' article complet : http :";2
". L' intrigue tombe a plat dès le quatrième épisode .";2
". L' -je cru ? Oui .";2
". La musique , d' abord , est bien pensée .";2
". La nuit , il pourchasse les pervers sur Internet .";2
". La rencontre entre John le Rouge et Patrick Jane .";2
". Le Casanova frigide du drama est tout simplement adorable .";2
". Le casse-tête mental n' a plus aucune valeur ajoutée .";2
". Le cliffhanger de la fin est tout simplement extra .";2
". Le pilote se termine sur une fin en demi-teinte :";2
". Le principe même est assez innovant , je trouve .";2
". Les décors sont assez simples mais sympathiques à regarder .";2
". Lire la suite : https :";2
". Lisez la critique complète sur le blog de Marvelll .";2
". Mais , sérieusement ? Pourquoi ?";2
". Mais ... on en fait pas tout un plat .";2
". Mais ce serait simpliste de résumer la série ainsi .";2
". Mais d' autres révélations se cachent sous ce twist :";2
". Mais je crois que seul lui à la réponse .";2
". Mais la série est plus maligne encore que ça .";2
". Mais on comprend vraiment trop vite que ... Enfin :";2
". Malheureusement autour de lui c' est le vide absolu :";2
". Manque d' envie ? Lassitude ?";2
". Massacre ayant visiblement été causé par un requin marteau .";2
". Même ceux qu’ il aime , il les pirate :";2
". Même si les acteurs principaux font un bon job .";2
". Miné , Patrick Jane va coopérer avec le CBI .";2
". Mon Dieu que c' est horrible , tout ça .";2
". N . I . A .";2
". N' est pas fou qui veut ... ou presque !";2
". Nazis à l' est , Japonais à l' Ouest .";2
". Néanmoins , je vous conseille ce drama très fortement .";2
". O . F a été mon tout premier drama .";2
". On en redemande à la fin de chaque episode .";2
". On est loin des clichés pour aborder la réalité .";2
". On est loin des Punchlines toutes les 5 min .";2
". Parlons à présent de la mère , la sorcière .";2
". Peut être vais -je apprendre à plus l' apprécier !";2
". Pirate justicier la nuit , technicien informatique le jour .";2
". Pour lire d' autres critiques , c' est ici !";2
". Pourquoi hacke-t -il ? Par plaisir ?";2
